评论,时间,点赞数,标签
“给别人带来快乐，这难道不酷吗”,2023-03-22 05:14:18,20,0
下期可以看蛋黄派开什么车吗？,2023-03-22 04:24:57,57,0
喜剧就是把人类无价值无意义的对象创造给你看，悲剧则是把人类有价值有意义的对象毁灭给你看,2023-03-22 04:24:20,37,0
知名up主竟然是~,2023-03-22 12:13:27,42,0
断章取义[doge],2023-03-22 04:17:26,1573,0
这个车标好眼熟啊，李宁还是鸿星尔克？,2023-03-22 11:39:45,6,0
东尼真的好低调啊，车都这么低调[给心心][给心心][给心心],2023-03-22 04:13:07,49,0
终于看到有节目效果的车了[tv_doge],2023-03-22 04:18:51,52,0
我是觉得不管什么up发什么视频，那是up的自由，只要不犯法不违反道德，流媒体时代，谁都可以发视频，没必要对谁有意义，对自己有意义就行。我一直不懂那些喊着低创，没意义的人，为什么喜欢点进去看，“没意义”的看“没意义”的视频？然后留下“没意义”的话呢？,2023-03-22 04:40:15,68,0
是的，搞笑的意义就是搞笑……一直说低创，但是只要能让我们笑出来就是一个好视频。,2023-03-22 04:31:44,17,0
真的很真实，现在一堆人看到生活区的up主发视频就会问到底有什么意义。这种评论看多了，我好像也被带偏了，对呀，这种纯搞笑视频到底有什么意义呢？但是我就是爱看。读书，工作什么都要讲究意义，就连休闲时刻我看个搞笑视频也还得讲究意义吗？我就是喜欢看魔鬼舅舅，喜欢看蹭饭挑战，喜欢小潮院长的团队，喜欢大虾和力元君的整活，但动不动就有人说划水挑战。现在蹭饭挑战也停了好久，真的不知道看视频到底要怎么看个有意义的。。那我还不如去读书学习。,2023-03-22 10:19:57,4,0
"艹，才五万，
我为什么要花两万去买单车，
日常上班？周末出游？
艹，完全不存在！",2023-03-22 12:47:21,3,0
盛嘉城，我做的对吗,2023-03-22 04:11:46,61,0
有幸在bw见到东尼本人，那一刻我决定粉他一辈子[脱单doge],2023-03-22 09:03:41,10,0
让自己快乐快乐这才叫做意义,2023-03-22 08:45:32,15,0
这期是最好的一期，三连了。东尼这人真低调[脱单doge],2023-03-22 05:15:07,11,0
有一说一我最烦的就是人家评价这个视频有什么意义呢？如果真的想要看有意义的东西就去读书不要看手机啊,2023-03-22 11:34:19,8,0
给别人带来快乐就是一件很有意义的事情,2023-03-22 05:12:42,6,0
什么车？共享单车哈哈哈哈哈哈,2023-03-22 08:37:18,9,0
我去 确实 我在自己房间用手机外放着看了一会 手机扬声器有滋滋滋的声音[doge][doge],2023-03-22 12:56:58,2,0
“给别人带来快乐，这难道不酷吗”,2023-03-22 05:14:18,20,0
下期可以看蛋黄派开什么车吗？,2023-03-22 04:24:57,57,0
喜剧就是把人类无价值无意义的对象创造给你看，悲剧则是把人类有价值有意义的对象毁灭给你看,2023-03-22 04:24:20,37,0
