评论,时间,点赞数,标签
啊啊啊晚睡的孩子有overdose听,1679411329,9,0
插图还有guildies和shoto的朋友我哭死（宝宝唱的好好听）[shoto_干杯][shoto_干杯],1679414711,6,0
The only thing that can make me run wild is you besides the heavy rain.I love you，shoto！,1679501141,2,0
cum,1679412454,6,0
这音色就很日漫的感觉,1679450928,5,0
sho宝现在真的比以前进步好多[脸红][脸红][脸红]唱歌比以前更好听了啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,1679497315,2,0
Please marry me！！！[保卫萝卜_哭哭],1679416882,2,0
啊啊啊啊shoto！！！也太有少年感了吧！！这个声音我好爱www,1679441761,3,0
sexy voice...[保卫萝卜_哭哭][保卫萝卜_笔芯],1679631329,1,0
真的好好听呜呜呜宝贝好适合这种风格[shoto_打call][shoto_打call][shoto_打call],1679545340,1,0
一天 我进了监狱 突然地震了 我的牢裂开了 我焦急的喊狱警shoto:shoto我牢破 shoto我牢破[喜欢],1679577965,1,0
Shoto is great. I hope we can go on together. This is my little wish.,1679567569,1,0
"When you do your homework and listen, I feel so cool. But the homework did not move. [脱单doge]",1679615146,1,0
这不小狗很喜欢的片头曲嘛!!!!敢于做喜欢的事并且做得很好真是我一如既往认识的那个超酷的工会长💜💜💜,1679573845,1,0
老婆好会唱[脱单doge][脱单doge]多来点这种谢谢,1679585133,1,0
@aza带我逃离三次元,1679590178,1,0
太好听了吗呀！！！！！！！风格一下不一样了！！这个声音能把我的家底骗光[shoto_震撼][shoto_震撼][shoto_震撼],1679540467,1,0
shou宝好会唱[shoto_开心][shoto_开心],1679572468,1,0
"本当は分かっていた
いけないことだったって、分かっていたのに
この手をすり抜ける全部が愛に見えたの
確かめていた言葉が形になって、揺れるだけ

弾いて、描...",1679556807,0,0
嗷嗷嗷嗷！shoto！marry me！！[脱单doge][脱单doge][脱单doge],1679580098,1,0
啊啊啊晚睡的孩子有overdose听,1679411329,9,0
插图还有guildies和shoto的朋友我哭死（宝宝唱的好好听）[shoto_干杯][shoto_干杯],1679414711,6,0
The only thing that can make me run wild is you besides the heavy rain.I love you，shoto！,1679501141,2,0
cum,1679412454,6,0
这音色就很日漫的感觉,1679450928,5,0
sho宝现在真的比以前进步好多[脸红][脸红][脸红]唱歌比以前更好听了啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,1679497315,2,0
Please marry me！！！[保卫萝卜_哭哭],1679416882,2,0
啊啊啊啊shoto！！！也太有少年感了吧！！这个声音我好爱www,1679441761,3,0
sexy voice...[保卫萝卜_哭哭][保卫萝卜_笔芯],1679631329,1,0
真的好好听呜呜呜宝贝好适合这种风格[shoto_打call][shoto_打call][shoto_打call],1679545340,1,0
一天 我进了监狱 突然地震了 我的牢裂开了 我焦急的喊狱警shoto:shoto我牢破 shoto我牢破[喜欢],1679577965,1,0
Shoto is great. I hope we can go on together. This is my little wish.,1679567569,1,0
"When you do your homework and listen, I feel so cool. But the homework did not move. [脱单doge]",1679615146,1,0
这不小狗很喜欢的片头曲嘛!!!!敢于做喜欢的事并且做得很好真是我一如既往认识的那个超酷的工会长💜💜💜,1679573845,1,0
老婆好会唱[脱单doge][脱单doge]多来点这种谢谢,1679585133,1,0
@aza带我逃离三次元,1679590178,1,0
太好听了吗呀！！！！！！！风格一下不一样了！！这个声音能把我的家底骗光[shoto_震撼][shoto_震撼][shoto_震撼],1679540467,1,0
shou宝好会唱[shoto_开心][shoto_开心],1679572468,1,0
"本当は分かっていた
いけないことだったって、分かっていたのに
この手をすり抜ける全部が愛に見えたの
確かめていた言葉が形になって、揺れるだけ

弾いて、描...",1679556807,0,0
嗷嗷嗷嗷！shoto！marry me！！[脱单doge][脱单doge][脱单doge],1679580098,1,0
啊啊啊晚睡的孩子有overdose听,1679411329,9,0
插图还有guildies和shoto的朋友我哭死（宝宝唱的好好听）[shoto_干杯][shoto_干杯],1679414711,6,0
The only thing that can make me run wild is you besides the heavy rain.I love you，shoto！,1679501141,2,0
cum,1679412454,6,0
这音色就很日漫的感觉,1679450928,5,0
sho宝现在真的比以前进步好多[脸红][脸红][脸红]唱歌比以前更好听了啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,1679497315,2,0
Please marry me！！！[保卫萝卜_哭哭],1679416882,2,0
啊啊啊啊shoto！！！也太有少年感了吧！！这个声音我好爱www,1679441761,3,0
sexy voice...[保卫萝卜_哭哭][保卫萝卜_笔芯],1679631329,1,0
真的好好听呜呜呜宝贝好适合这种风格[shoto_打call][shoto_打call][shoto_打call],1679545340,1,0
一天 我进了监狱 突然地震了 我的牢裂开了 我焦急的喊狱警shoto:shoto我牢破 shoto我牢破[喜欢],1679577965,1,0
Shoto is great. I hope we can go on together. This is my little wish.,1679567569,1,0
"When you do your homework and listen, I feel so cool. But the homework did not move. [脱单doge]",1679615146,1,0
这不小狗很喜欢的片头曲嘛!!!!敢于做喜欢的事并且做得很好真是我一如既往认识的那个超酷的工会长💜💜💜,1679573845,1,0
老婆好会唱[脱单doge][脱单doge]多来点这种谢谢,1679585133,1,0
@aza带我逃离三次元,1679590178,1,0
太好听了吗呀！！！！！！！风格一下不一样了！！这个声音能把我的家底骗光[shoto_震撼][shoto_震撼][shoto_震撼],1679540467,1,0
shou宝好会唱[shoto_开心][shoto_开心],1679572468,1,0
"本当は分かっていた
いけないことだったって、分かっていたのに
この手をすり抜ける全部が愛に見えたの
確かめていた言葉が形になって、揺れるだけ

弾いて、描...",1679556807,0,0
嗷嗷嗷嗷！shoto！marry me！！[脱单doge][脱单doge][脱单doge],1679580098,1,0
啊啊啊晚睡的孩子有overdose听,1679411329,9,0
插图还有guildies和shoto的朋友我哭死（宝宝唱的好好听）[shoto_干杯][shoto_干杯],1679414711,6,0
The only thing that can make me run wild is you besides the heavy rain.I love you，shoto！,1679501141,2,0
cum,1679412454,6,0
这音色就很日漫的感觉,1679450928,5,0
sho宝现在真的比以前进步好多[脸红][脸红][脸红]唱歌比以前更好听了啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,1679497315,2,0
Please marry me！！！[保卫萝卜_哭哭],1679416882,2,0
啊啊啊啊shoto！！！也太有少年感了吧！！这个声音我好爱www,1679441761,3,0
sexy voice...[保卫萝卜_哭哭][保卫萝卜_笔芯],1679631329,1,0
真的好好听呜呜呜宝贝好适合这种风格[shoto_打call][shoto_打call][shoto_打call],1679545340,1,0
一天 我进了监狱 突然地震了 我的牢裂开了 我焦急的喊狱警shoto:shoto我牢破 shoto我牢破[喜欢],1679577965,1,0
Shoto is great. I hope we can go on together. This is my little wish.,1679567569,1,0
"When you do your homework and listen, I feel so cool. But the homework did not move. [脱单doge]",1679615146,1,0
这不小狗很喜欢的片头曲嘛!!!!敢于做喜欢的事并且做得很好真是我一如既往认识的那个超酷的工会长💜💜💜,1679573845,1,0
老婆好会唱[脱单doge][脱单doge]多来点这种谢谢,1679585133,1,0
@aza带我逃离三次元,1679590178,1,0
太好听了吗呀！！！！！！！风格一下不一样了！！这个声音能把我的家底骗光[shoto_震撼][shoto_震撼][shoto_震撼],1679540467,1,0
shou宝好会唱[shoto_开心][shoto_开心],1679572468,1,0
"本当は分かっていた
いけないことだったって、分かっていたのに
この手をすり抜ける全部が愛に見えたの
確かめていた言葉が形になって、揺れるだけ

弾いて、描...",1679556807,0,0
嗷嗷嗷嗷！shoto！marry me！！[脱单doge][脱单doge][脱单doge],1679580098,1,0
啊啊啊晚睡的孩子有overdose听,1679411329,9,0
插图还有guildies和shoto的朋友我哭死（宝宝唱的好好听）[shoto_干杯][shoto_干杯],1679414711,6,0
The only thing that can make me run wild is you besides the heavy rain.I love you，shoto！,1679501141,2,0
cum,1679412454,6,0
这音色就很日漫的感觉,1679450928,5,0
sho宝现在真的比以前进步好多[脸红][脸红][脸红]唱歌比以前更好听了啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,1679497315,2,0
Please marry me！！！[保卫萝卜_哭哭],1679416882,2,0
啊啊啊啊shoto！！！也太有少年感了吧！！这个声音我好爱www,1679441761,3,0
sexy voice...[保卫萝卜_哭哭][保卫萝卜_笔芯],1679631329,1,0
真的好好听呜呜呜宝贝好适合这种风格[shoto_打call][shoto_打call][shoto_打call],1679545340,1,0
一天 我进了监狱 突然地震了 我的牢裂开了 我焦急的喊狱警shoto:shoto我牢破 shoto我牢破[喜欢],1679577965,1,0
Shoto is great. I hope we can go on together. This is my little wish.,1679567569,1,0
"When you do your homework and listen, I feel so cool. But the homework did not move. [脱单doge]",1679615146,1,0
这不小狗很喜欢的片头曲嘛!!!!敢于做喜欢的事并且做得很好真是我一如既往认识的那个超酷的工会长💜💜💜,1679573845,1,0
老婆好会唱[脱单doge][脱单doge]多来点这种谢谢,1679585133,1,0
@aza带我逃离三次元,1679590178,1,0
太好听了吗呀！！！！！！！风格一下不一样了！！这个声音能把我的家底骗光[shoto_震撼][shoto_震撼][shoto_震撼],1679540467,1,0
shou宝好会唱[shoto_开心][shoto_开心],1679572468,1,0
"本当は分かっていた
いけないことだったって、分かっていたのに
この手をすり抜ける全部が愛に見えたの
確かめていた言葉が形になって、揺れるだけ

弾いて、描...",1679556807,0,0
嗷嗷嗷嗷！shoto！marry me！！[脱单doge][脱单doge][脱单doge],1679580098,1,0
啊啊啊晚睡的孩子有overdose听,1679411329,9,0
插图还有guildies和shoto的朋友我哭死（宝宝唱的好好听）[shoto_干杯][shoto_干杯],1679414711,6,0
The only thing that can make me run wild is you besides the heavy rain.I love you，shoto！,1679501141,2,0
cum,1679412454,6,0
这音色就很日漫的感觉,1679450928,5,0
sho宝现在真的比以前进步好多[脸红][脸红][脸红]唱歌比以前更好听了啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,1679497315,2,0
Please marry me！！！[保卫萝卜_哭哭],1679416882,2,0
啊啊啊啊shoto！！！也太有少年感了吧！！这个声音我好爱www,1679441761,3,0
sexy voice...[保卫萝卜_哭哭][保卫萝卜_笔芯],1679631329,1,0
真的好好听呜呜呜宝贝好适合这种风格[shoto_打call][shoto_打call][shoto_打call],1679545340,1,0
一天 我进了监狱 突然地震了 我的牢裂开了 我焦急的喊狱警shoto:shoto我牢破 shoto我牢破[喜欢],1679577965,1,0
Shoto is great. I hope we can go on together. This is my little wish.,1679567569,1,0
"When you do your homework and listen, I feel so cool. But the homework did not move. [脱单doge]",1679615146,1,0
这不小狗很喜欢的片头曲嘛!!!!敢于做喜欢的事并且做得很好真是我一如既往认识的那个超酷的工会长💜💜💜,1679573845,1,0
老婆好会唱[脱单doge][脱单doge]多来点这种谢谢,1679585133,1,0
@aza带我逃离三次元,1679590178,1,0
太好听了吗呀！！！！！！！风格一下不一样了！！这个声音能把我的家底骗光[shoto_震撼][shoto_震撼][shoto_震撼],1679540467,1,0
shou宝好会唱[shoto_开心][shoto_开心],1679572468,1,0
"本当は分かっていた
いけないことだったって、分かっていたのに
この手をすり抜ける全部が愛に見えたの
確かめていた言葉が形になって、揺れるだけ

弾いて、描...",1679556807,0,0
嗷嗷嗷嗷！shoto！marry me！！[脱单doge][脱单doge][脱单doge],1679580098,1,0
啊啊啊晚睡的孩子有overdose听,1679411329,9,0
插图还有guildies和shoto的朋友我哭死（宝宝唱的好好听）[shoto_干杯][shoto_干杯],1679414711,6,0
The only thing that can make me run wild is you besides the heavy rain.I love you，shoto！,1679501141,2,0
cum,1679412454,6,0
这音色就很日漫的感觉,1679450928,5,0
sho宝现在真的比以前进步好多[脸红][脸红][脸红]唱歌比以前更好听了啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,1679497315,2,0
Please marry me！！！[保卫萝卜_哭哭],1679416882,2,0
啊啊啊啊shoto！！！也太有少年感了吧！！这个声音我好爱www,1679441761,3,0
sexy voice...[保卫萝卜_哭哭][保卫萝卜_笔芯],1679631329,1,0
真的好好听呜呜呜宝贝好适合这种风格[shoto_打call][shoto_打call][shoto_打call],1679545340,1,0
一天 我进了监狱 突然地震了 我的牢裂开了 我焦急的喊狱警shoto:shoto我牢破 shoto我牢破[喜欢],1679577965,1,0
Shoto is great. I hope we can go on together. This is my little wish.,1679567569,1,0
"When you do your homework and listen, I feel so cool. But the homework did not move. [脱单doge]",1679615146,1,0
这不小狗很喜欢的片头曲嘛!!!!敢于做喜欢的事并且做得很好真是我一如既往认识的那个超酷的工会长💜💜💜,1679573845,1,0
老婆好会唱[脱单doge][脱单doge]多来点这种谢谢,1679585133,1,0
@aza带我逃离三次元,1679590178,1,0
太好听了吗呀！！！！！！！风格一下不一样了！！这个声音能把我的家底骗光[shoto_震撼][shoto_震撼][shoto_震撼],1679540467,1,0
shou宝好会唱[shoto_开心][shoto_开心],1679572468,1,0
"本当は分かっていた
いけないことだったって、分かっていたのに
この手をすり抜ける全部が愛に見えたの
確かめていた言葉が形になって、揺れるだけ

弾いて、描...",1679556807,0,0
嗷嗷嗷嗷！shoto！marry me！！[脱单doge][脱单doge][脱单doge],1679580098,1,0
啊啊啊晚睡的孩子有overdose听,1679411329,9,0
插图还有guildies和shoto的朋友我哭死（宝宝唱的好好听）[shoto_干杯][shoto_干杯],1679414711,6,0
The only thing that can make me run wild is you besides the heavy rain.I love you，shoto！,1679501141,2,0
cum,1679412454,6,0
这音色就很日漫的感觉,1679450928,5,0
sho宝现在真的比以前进步好多[脸红][脸红][脸红]唱歌比以前更好听了啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,1679497315,2,0
Please marry me！！！[保卫萝卜_哭哭],1679416882,2,0
啊啊啊啊shoto！！！也太有少年感了吧！！这个声音我好爱www,1679441761,3,0
sexy voice...[保卫萝卜_哭哭][保卫萝卜_笔芯],1679631329,1,0
真的好好听呜呜呜宝贝好适合这种风格[shoto_打call][shoto_打call][shoto_打call],1679545340,1,0
一天 我进了监狱 突然地震了 我的牢裂开了 我焦急的喊狱警shoto:shoto我牢破 shoto我牢破[喜欢],1679577965,1,0
Shoto is great. I hope we can go on together. This is my little wish.,1679567569,1,0
"When you do your homework and listen, I feel so cool. But the homework did not move. [脱单doge]",1679615146,1,0
这不小狗很喜欢的片头曲嘛!!!!敢于做喜欢的事并且做得很好真是我一如既往认识的那个超酷的工会长💜💜💜,1679573845,1,0
老婆好会唱[脱单doge][脱单doge]多来点这种谢谢,1679585133,1,0
@aza带我逃离三次元,1679590178,1,0
太好听了吗呀！！！！！！！风格一下不一样了！！这个声音能把我的家底骗光[shoto_震撼][shoto_震撼][shoto_震撼],1679540467,1,0
shou宝好会唱[shoto_开心][shoto_开心],1679572468,1,0
"本当は分かっていた
いけないことだったって、分かっていたのに
この手をすり抜ける全部が愛に見えたの
確かめていた言葉が形になって、揺れるだけ

弾いて、描...",1679556807,0,0
嗷嗷嗷嗷！shoto！marry me！！[脱单doge][脱单doge][脱单doge],1679580098,1,0
啊啊啊晚睡的孩子有overdose听,1679411329,9,0
插图还有guildies和shoto的朋友我哭死（宝宝唱的好好听）[shoto_干杯][shoto_干杯],1679414711,6,0
The only thing that can make me run wild is you besides the heavy rain.I love you，shoto！,1679501141,2,0
cum,1679412454,6,0
这音色就很日漫的感觉,1679450928,5,0
sho宝现在真的比以前进步好多[脸红][脸红][脸红]唱歌比以前更好听了啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,1679497315,2,0
Please marry me！！！[保卫萝卜_哭哭],1679416882,2,0
啊啊啊啊shoto！！！也太有少年感了吧！！这个声音我好爱www,1679441761,3,0
sexy voice...[保卫萝卜_哭哭][保卫萝卜_笔芯],1679631329,1,0
真的好好听呜呜呜宝贝好适合这种风格[shoto_打call][shoto_打call][shoto_打call],1679545340,1,0
一天 我进了监狱 突然地震了 我的牢裂开了 我焦急的喊狱警shoto:shoto我牢破 shoto我牢破[喜欢],1679577965,1,0
