评论,时间,点赞数,标签
"课代表来啦[给心心]
《星之声》00:19
《云之彼端，约定的地方》00:26
《秒速五厘米》00:37
《追逐繁星的孩子》00:42
《言叶之庭》00:49
《她和她的猫》00:55
后面就是大家比较熟悉的老师的作品啦《你的名字》，《天气之子》，还有24号上映的《铃芽户缔》啦！",1679509080,5,0
天气之子的时候在复习中考，铃芽户缔的时候距离高考还有70多天，md,1679499045,8,0
虽然是2个男孩子，但也是可以看的呀[脱单doge],1679491841,61,0
之前都是跟我妹去看的，今年大学跟我闺蜜一起了，突然有点想家想我妹了[来古-注意],1679549199,4,0
"你的名字、天气之子、铃芽之旅越来越多奇幻的元素出现在新海诚的电影里
随着日益增长的年龄，越来越喜欢秒速五厘米
那份少年的懵懂、少女的青涩成为踏足社会前最难得可贵的回忆
也是男主长大后所怀恋的
相比之下言叶之庭更具文学性、秒五就像是青葱躁动的那段年华的缩影",1679488308,4,0
"你的名字  初恋
言叶之庭  实践的同学
天气之子  大学挚友

最后，铃芽  只能自己一个人了",1679416201,19,0
"1999年《她和她的猫》；
2002年《星之声》；
2004年《云之彼端 约定的地方》；
2007年《秒速五厘米》；
2011年《追逐繁星的孩子》；
2013年《言叶之庭》；
2016年《你的名字》；
2019年《天气之子》；
2022年《铃芽户缔》；

请问：今年的新海诚还是你一个人去看吗？！

BGM【音乐名】: In The Shadow Of The Sun
BGM【音乐人】: Professor Green
特别感谢：@小鸟游香゜",1679467453,10,0
票都订好了，希望大家不要失约[抱拳],1679539225,4,0
想去看，但是不想一个人看[大哭][大哭][大哭],1679501501,4,0
"《铃芽之旅》
《铃芽户缔》
《铃芽小姐来敲门》
《你的门子》",1679463965,7,0
铃芽之旅买了本书[脱单doge][脱单doge][脱单doge],1679573280,3,0
想不到第一次去电影院看新海诚的电影会是在加拿大[脱单doge],1679508871,3,0
铃芽户缔我都不知道在哪看😡,1679524289,3,0
秒五已经是新海诚巅峰了，后面的一部比一部不像新海诚。[2233娘_吃惊][2233娘_吃惊][2233娘_吃惊],1679470242,7,0
所以为什么他说请我看电影但是是我付的钱啊[抓狂][抓狂][抓狂][抓狂],1679493024,6,0
"买在正中间的我。
今年依旧孤寡。",1679459817,80,0
感觉给个建议，重点是台词，但是感觉台词声音有点小，背景音调整一下会好点,1679460564,4,0
我们这县城一张票卖43城里iMax才40[捂脸],1679548246,4,0
"1999年《她和她的猫》；
2002年《星之声》；
2004年《云之彼端 约定的地方》；
2007年《秒速五厘米》；
2011年《追逐繁星的孩子》；
2013年《言叶之庭》；
2016年《你的名字》；
2019年《天气之子》；
2022年《铃芽户缔》；",1679461822,9,0
我们班一共10多个人要一起去，直接包排[脱单doge],1679498710,3,0
"课代表来啦[给心心]
《星之声》00:19
《云之彼端，约定的地方》00:26
《秒速五厘米》00:37
《追逐繁星的孩子》00:42
《言叶之庭》00:49
《她和她的猫》00:55
后面就是大家比较熟悉的老师的作品啦《你的名字》，《天气之子》，还有24号上映的《铃芽户缔》啦！",1679509080,5,0
天气之子的时候在复习中考，铃芽户缔的时候距离高考还有70多天，md,1679499045,8,0
虽然是2个男孩子，但也是可以看的呀[脱单doge],1679491841,61,0
之前都是跟我妹去看的，今年大学跟我闺蜜一起了，突然有点想家想我妹了[来古-注意],1679549199,4,0
"你的名字、天气之子、铃芽之旅越来越多奇幻的元素出现在新海诚的电影里
随着日益增长的年龄，越来越喜欢秒速五厘米
那份少年的懵懂、少女的青涩成为踏足社会前最难得可贵的回忆
也是男主长大后所怀恋的
相比之下言叶之庭更具文学性、秒五就像是青葱躁动的那段年华的缩影",1679488308,4,0
"你的名字  初恋
言叶之庭  实践的同学
天气之子  大学挚友

最后，铃芽  只能自己一个人了",1679416201,19,0
"1999年《她和她的猫》；
2002年《星之声》；
2004年《云之彼端 约定的地方》；
2007年《秒速五厘米》；
2011年《追逐繁星的孩子》；
2013年《言叶之庭》；
2016年《你的名字》；
2019年《天气之子》；
2022年《铃芽户缔》；

请问：今年的新海诚还是你一个人去看吗？！

BGM【音乐名】: In The Shadow Of The Sun
BGM【音乐人】: Professor Green
特别感谢：@小鸟游香゜",1679467453,10,0
票都订好了，希望大家不要失约[抱拳],1679539225,4,0
想去看，但是不想一个人看[大哭][大哭][大哭],1679501501,4,0
"《铃芽之旅》
《铃芽户缔》
《铃芽小姐来敲门》
《你的门子》",1679463965,7,0
铃芽之旅买了本书[脱单doge][脱单doge][脱单doge],1679573280,3,0
想不到第一次去电影院看新海诚的电影会是在加拿大[脱单doge],1679508871,3,0
铃芽户缔我都不知道在哪看😡,1679524289,3,0
秒五已经是新海诚巅峰了，后面的一部比一部不像新海诚。[2233娘_吃惊][2233娘_吃惊][2233娘_吃惊],1679470242,7,0
