评论,时间,点赞数,标签
有没有人说up主的眼睛和嘴型很好看,1679491207,1,0
我胆子小，之前不懂歌词，现在歌词再突然加上这个滤镜，被吓的不敢出厕所了。我没开灯啊！！！我为什么要半夜十二点刷到啊啊啊？,1679500978,1,0
快接新粉[脱单doge],1679576949,1,0
姐姐唱的是我听过最舒服的版本[星星眼],1679570244,1,0
"纯真的少女，嗓音带着慵懒和淡淡清冽，悠悠吟唱着爱的宣誓，明明看着天真甜美，却暗暗中杀意势不可挡，让你知道这不仅是一朵娇艳的花，若想拥有，就要承担不忠而泯灭的致命威胁。

从真挚灵动的俏皮，瞬间变得杀意四伏，疯狂且偏执
“爱我吧，如果不，就，去死吧”",1679589600,1,0
什么低质视频这么高播放,1679614890,5,0
虽然但是，听多了感觉好多麻油哎，怪好喝的。啊对，这是可以说的吧[tv_害羞],1679589664,1,0
这首歌有种大雪中把爱人一枪打死的感觉，爱人喷出来的还不是血，而是玫瑰。,1679571523,1,0
南无观世音菩萨，愿我速悟一切真理，愿我早观察出“一切变化的详细规律”，愿我快乐并循序渐进的改掉自己所有坏习惯。,1679627863,1,0
"蔡徐坤 陈立农 范丞丞
黄明昊 林彦俊 朱正廷
王子异 王琳凯 尤长靖 NINE PERCENT
蔡徐坤容颜赏心悦目是ikun信仰
陈立农笑容有感染力是农糖希望
丞星闪耀给范丞丞照亮前行方向
黄明昊给nana的爱永远不会假装
校园制霸林彦俊喜欢对橘妹宠溺
朱正廷给珍珠糖们全都带来鼓励
ISEE们的目光是王子异的兴奋剂
Lilghost小鬼王琳凯rap使达琳着迷
西柚宝宝的八十斤小鸟胃尤长靖
他们组合在一起相信是命中注定",1679566714,1,0
小姐姐，有点胖，但胖的像一块奶油泡芙[OK],1679585767,1,0
《熊二的忧伤》,1679582693,1,0
下午看到这个视频，被安利了这首歌！想唱但是不会俄语于是试着填了中文的词……https://b23.tv/BV1qv4y157Po [保卫萝卜_笔芯],1679571525,1,0
人民币丢了头当然大，没有啊，没有啊，人民币啊，没有啊～,1679490588,2,0
好家伙，头一回看见中文翻译，不愧是毛子就是猛[笑哭][笑哭][笑哭],1679487511,1,0
姐姐长得好像一个草莓奶油泡芙吖[保卫萝卜_笔芯][保卫萝卜_笔芯][保卫萝卜_笔芯][保卫萝卜_笔芯][保卫萝卜_笔芯][保卫萝卜_笔芯][保卫萝卜_笔芯][保卫萝卜_笔芯]想要贴贴,1679545905,1,0
前面忘了，底子挺好瘦下来一定挺好看（doge,1679512129,1,0
2米女孩的瓜[吃瓜][吃瓜][吃瓜],1679581141,1,0
姐你眼睛好好看🤤🤤好有韵味的脸，一眼就会喜欢上那种,1679485515,1,0
好听啊啊，哈特软软[给心心],1679503527,1,0
有没有人说up主的眼睛和嘴型很好看,1679491207,1,0
我胆子小，之前不懂歌词，现在歌词再突然加上这个滤镜，被吓的不敢出厕所了。我没开灯啊！！！我为什么要半夜十二点刷到啊啊啊？,1679500978,1,0
快接新粉[脱单doge],1679576949,1,0
姐姐唱的是我听过最舒服的版本[星星眼],1679570244,1,0
"纯真的少女，嗓音带着慵懒和淡淡清冽，悠悠吟唱着爱的宣誓，明明看着天真甜美，却暗暗中杀意势不可挡，让你知道这不仅是一朵娇艳的花，若想拥有，就要承担不忠而泯灭的致命威胁。

从真挚灵动的俏皮，瞬间变得杀意四伏，疯狂且偏执
“爱我吧，如果不，就，去死吧”",1679589600,1,0
什么低质视频这么高播放,1679614890,5,0
虽然但是，听多了感觉好多麻油哎，怪好喝的。啊对，这是可以说的吧[tv_害羞],1679589664,1,0
这首歌有种大雪中把爱人一枪打死的感觉，爱人喷出来的还不是血，而是玫瑰。,1679571523,1,0
南无观世音菩萨，愿我速悟一切真理，愿我早观察出“一切变化的详细规律”，愿我快乐并循序渐进的改掉自己所有坏习惯。,1679627863,1,0
"蔡徐坤 陈立农 范丞丞
黄明昊 林彦俊 朱正廷
王子异 王琳凯 尤长靖 NINE PERCENT
蔡徐坤容颜赏心悦目是ikun信仰
陈立农笑容有感染力是农糖希望
丞星闪耀给范丞丞照亮前行方向
黄明昊给nana的爱永远不会假装
校园制霸林彦俊喜欢对橘妹宠溺
朱正廷给珍珠糖们全都带来鼓励
ISEE们的目光是王子异的兴奋剂
Lilghost小鬼王琳凯rap使达琳着迷
西柚宝宝的八十斤小鸟胃尤长靖
他们组合在一起相信是命中注定",1679566714,1,0
小姐姐，有点胖，但胖的像一块奶油泡芙[OK],1679585767,1,0
