评论,时间,点赞数,标签
盗月社你们好，我是你们的一名新粉丝（粉丝是不是都称作社员？）从去年的超级外卖员栏目认识到你们了，我感到非常高兴与荣幸，节目很有意义！今天看到这期视频后也想一键三连（其实之前外卖员的视频也有，但我发现怎么投不了币，然后今天我就把b站的新手答题给过了，才可以投币，也算是我b站上面第一个投币的视频了！这个视频得知你们开了一家淘宝店，也很想去消费一下支持你们，但我是一名广东人，不太能吃辣，所以暂时不敢下单了[笑哭][笑哭]希望你们可以出一些不辣的产品吧哈哈哈，感谢！！,1679538595,5,0
沐上说他的愿望是回家陪姥姥超过十五天，我想起这大学四年因为疫情没办法到处跑，终于在去年毕业之后回去住了一个月，后来外婆家停电了我就暂时回市里了，在外婆家的时候我们一起去地里干活，外公骑着电动三轮车带我去逛，去集市给我买大鸡腿，是要多陪陪老人，和外公外婆一起的生活真的很快乐。,1679547903,5,0
省流：盗月社出零食铺了，叫月亮兜兜,1679480986,47,0
以前看以为盗月社是自己的，是自己认为小众又私密的小乐园。等到工作以后，还在坚持看盗月社，认为盗月社是自己内心最柔软的地方。等发现身边人也有和自己喜欢盗月社，每期内容都有分享的人的时候，那一刻感觉，盗月社是大家的了。盗月社正在真正的去影响这个社会上更多的善。,1679534904,6,0
"去年五月，我的爷爷也过世了，和高饱饱一样，我也从没向爷爷表达过思念，因为在外地上大学，也没有见到爷爷最后一面。现在过去快一年了，梦到爷爷的次数屈指可数，不知道是不是爷爷生气了，觉得我陪伴他的时间太少，走了以后也不愿意和我见面，少有的相见的梦里也都是爷爷在快步向前走，我怎么追也追不上。
上周六去给爷爷挂了清明，希望爷爷在那边能天天开心，没有病痛，没事能出去散散步，和老朋友打打牌聊聊天，如果有空的话，能来我的梦里和我说说话就更好啦。",1679481661,9,0
因为租的房子煮不了面所以只能买牛肉干的我[脱单doge]这次不白嫖了呀,1679481663,277,0
我觉得挣点钱很正常啊，毕竟看着外卖员那些视频，一看就开销非常大的，支持盗月社,1679494884,8,0
"看见赠品就冲了www
那个兔子真的不是coco吗",1679499243,91,0
希望有一群可爱善良的同事有一个稳定的工作。,1679539078,4,0
哈哈哈哈，弹幕说，没烦恼是缺心眼儿,1679567593,2,0
其实是一件好事来的 类似于社会企业 只要产品好 挣钱是必须的 挣到的钱可以回馈社会 企业员工也能有更好的生活 挣钱和做好事从来都不是对立的 我能理解 我就梦想着辈子能做一间社企 挣到钱也能做对社会有意义的事 好事来的,1679539606,4,0
记得好早之前就关注了盗月社 当时还是在微博 给了我特别多的力量 从高一到现在大一中间还复读了一年 许多博主风格或者其他的或多或少都变了 只有盗月社还在坚守初心 不管多久再回头看还依旧是那个盗月社 温暖又坚定 看盗月社的视频每次都会有充电的感觉 看到大家都不忘初心 那我也依旧坚定我自己的选择[给心心][给心心],1679569087,3,0
真的非常感谢这期视频，周日要参加法考主观题的我真的快焦虑疯了[大哭],1679571572,3,0
多搞点不辣的零食啊，太辣肠胃受不了[大哭][大哭],1679487834,11,0
亲人的离去不是一场暴雨，而是一生的潮湿,1679500156,6,0
过年的时候我奶奶走了，她临终前对我的最后一句话是说我考研一定考得上。,1679480874,5,0
月亮兜兜～！看起来还不错哎！就是有点小贵[笑哭],1679481178,147,0
主打品牌不是卤花生我不是很认可[傲娇][傲娇][傲娇],1679501247,5,0
零食真的不是个最好的周边，揣肚子里谁知道我是社员？！怎么社员相认？！,1679547336,4,0
省流:开淘宝网店了叫月亮兜兜[doge],1679480130,50,0
92名，这样是不是可以找出大佬是谁了[脱单doge],1679480722,61,0
