评论,时间,点赞数,标签
少年音和天后浑厚嗓音叠加特别美，特别好听,2023-03-23 12:09:59,452,0
看到台下的姐姐哭了之后也憋不住了，嘉祺真的越来越棒了，站在了更高的舞台上，被越来越多的人看到。从嘉祺小时候的歌一路听到现在，真的感慨时间过得好快，从稚嫩的嗓音到现在的干净有穿透力。又可惜只能远远的看着他，多希望可以亲眼看见嘉祺，亲耳听见嘉祺唱歌啊。加油嘉祺宝贝我永远支持你 爱你！！！做最好的自己！,2023-03-23 12:14:09,397,0
该说不说，作为杰迷真的很喜欢这个版本！这声音真的很适合唱国风。希望这个节目多来点周董的歌！,2023-03-24 01:39:46,36,0
又想起录制那天，在现场听就被震撼，唱完后全程齐刷刷地竖起大拇指，嘉祺你被大家看到了哦,2023-03-23 14:05:38,84,0
其实一开始听说嘉祺要翻唱兰亭序的时候，心里特别紧张。我本身特别喜欢周董版本的兰亭序，听过好多好多次。珠玉在前，原唱的版本那么经典，翻唱会不会让听众不喜欢呢？但是听完之后，所有的担忧都消失了，那英老师和小马的合作特别特别好，那英老师的戏腔真的有青衣的感觉，小马则是很清亮的少年音，是一个很好的中国风舞台，听完一遍还想返回去再听一遍，两位多多合作！,2023-03-23 13:17:37,266,0
张信哲的粉丝，我觉得唱戏的那一段如果给小马这首歌会更惊艳，娜姐能唱这一段不意外，小马能唱才出乎意料。,2023-03-23 15:41:14,87,0
方文山的词，杰伦的曲，那英真的牛，这个弟弟真的唱的很好听，咬字、音色很不错！好棒！,2023-03-23 15:23:11,136,0
我一个八零后听哭了，我儿子居然和我喜欢的大英子合唱了,2023-03-23 13:05:14,84,0
好听！他什么时候能接一首古装剧ost啊？！！一定很适合[喜欢],2023-03-23 12:33:16,263,0
兰亭序是一首一直想让马嘉祺唱一遍的歌，这次与那姐合作也是出人意料，总感觉两个人不是一挂，但出乎意料效果很好，可能这就是调整碰撞的火花,2023-03-23 12:20:29,303,0
我的天哪，他一开口，我就想落泪了。那个唱人之初，性本善的小孩儿已经在更大的舞台上唱他钟爱的歌了😭😭😭。马嘉祺你的美丽才刚刚开始🤲,2023-03-23 14:38:19,50,0
在听宣讲会，然后偷偷带耳机听，看到现场的小姐姐们的repo以及嘉祺的声音，真的应了那句话，轻舟已过万重山，差点在宣讲会现场哭出来[大哭][大哭][大哭],2023-03-23 12:11:54,326,0
很好听哦，当然还是少年音，但中声部的歌声比以前好像更实更沉。真的咬字好适合国风歌曲，本人也是，高挑俊秀，气质卓绝[支持][支持]。和那姐合唱也好听，那姐戏腔更是惊喜，最后和声部分也好听，很喜欢的舞台[OK],2023-03-23 13:59:25,151,0
月白风清，水岸白杨。国风少年，嘉祺正当。,2023-03-23 12:07:25,289,0
妈啊，说实话，我因为一些热搜和他人的评价对马嘉祺印象不是很好的，但是这个视频让我对他改观了，他唱歌也太好听了吧！！！是我会下载来反复听的,2023-03-24 03:18:11,35,0
这个音对小马来说是不经常唱的低音唉，真的打破我的想法了很惊喜，我还以为他会利用他的优势，唱高音和戏腔呢，毕竟这个音域才是他音色实力最大的闪光点，不过马嘉祺是真的敢挑战啊，对于了解他的人来说就是好牛逼的尝试，不了解的人肯定会说他被那英声压音色压住了，没有辨识度，但是了解马嘉祺的才知道，他有流量出名唱歌好原因就是，他天赋高清澈干净少年音色+超高辨识度+独特咬字+百变唱腔【笑哭R】好想让全世界都看到马嘉祺真的很厉害只不过不了解的人不会知道,2023-03-23 13:52:51,138,0
他真的……很适合老歌，这次节目真的让我变成他的“吹”了。唱歌技巧什么的都还有的评，主要是这种不疾不徐的老干部风真的很招人喜欢[tv_抓狂],2023-03-23 14:14:39,116,0
他真的像极了那个年代的小公子，他在唱着他的故事💜💜💜,2023-03-23 11:57:31,343,0
马嘉祺的音色特别适合国风，真的求求听完这首，你们去听听《三字经》和《少年郎》[tv_大哭],2023-03-23 14:33:29,46,0
