评论,时间,点赞数,标签
中间停顿的感觉好像遁入黑暗，游弋在深蓝色的夜空之中，觉醒的火种纤细地划破一片墨色的幕布，穿梭燃烧，将祟戾的恐惧殆尽焚烧，那就让我无畏。,2023-03-23 04:18:02,31,0
看到有人说前面有个别地方有点儿像《问天》，我第一遍听也有点儿幻听，但其实听到后面才发现完全不一样，虽然都是中式风格 但这首歌更想一位无畏无惧、闯荡江湖的大侠，天地广阔 随光而行 步伐坚定。hook很给劲，这首歌的电挂得相当和谐，而且这首歌假声蛮多的，对某幻来说也是一个新的挑战，感觉他的唱功又上了一个level。,2023-03-23 04:56:52,16,0
正在上晚自习摸鱼打开b站忽然就看到马哥发歌了，这次的挂电真的真的很好听帅死了（昏厥）其实一直很喜欢大幻唱歌时候挂电的，而且这居然是国风，真的一点没想到，特别喜欢这种赛博朋克电子佛祖的感觉，，，最后再问一遍问天什么时候传网易☁️啊，b站已经当了很久的后台播放软件了[保卫萝卜_哭哭],2023-03-23 12:34:58,15,0
"马哥的歌词就是最牛批的！！！国风歌歌词格调直接拉满好吧！！！毫不夸张的说这首歌直接踩在我心上唱[tv_大哭]开头曲调一出来我就意识到《无畏》绝对成为我心中的top前三，赛博和国风的结合丝毫没有违和感
“那就让我无畏，不在乎黑夜涂黑，就算万物都枯萎”感觉真的有一股抛开一切“逆着刺骨的风，追寻最初的梦”的力量，字字句句都好像在对陷入迷茫的人唱“给爷挺直脊梁往前冲”
高音那一句“我不介意eyes on me，注视我尽力破开了冰”直接把我对这首歌的喜欢拉满！！！马哥的声音本身偏低比较适合低音，但高音毫不逊色简直惊艳！！！！！
不管是旋律作词还是腔调唱法，乃至视频拍摄和曲绘，全部都展现出了“无畏”的态度——“年轻就要无畏”

——那就让我无畏。",2023-03-23 13:08:02,7,0
谁懂上一秒因为和同学闹不愉快在和闺蜜哭，下一秒看到某幻发新歌开始发疯开始笑[大哭]电子布洛芬的力量！！！！,2023-03-23 09:57:06,13,0
哥你但凡早点发你就是我外研社杯地区决赛的演讲稿了素材（？）,2023-03-23 14:19:25,9,0
某老师，杨劳模，怪生音老师！铁三角了属于是,2023-03-23 04:02:55,186,0
"亦是冲破云层，亦是破冰

思绪早已放空却一意去书写被旧日历遗留下的崭新白纸
以我遗落的情绪为它命上题目，如那永不凋零的梦般不会被禁锢

汗水滴落，恍惚看到万物枯萎，但我无畏，从不在意黑夜是否涂黑

Baby put your eyes on me去畅想品味胜利的芳香

年少吝啬惭愧的话是时钟滴答后落下的回响，这世上是否未解的太多。再插下破土的旗帜，音乐灯光早已伴随青春陪我承下一个秋凉。
“花只能开一次，但人生能开放无数次”

那就让我无畏",2023-03-23 04:44:48,18,0
听说唱部分感觉是赛博朋克感，但听到hook部分感觉更像国风了，两者相结合得很好，我是真的没有想到马老师的电音和Beat的古乐器相结合的这么好，完全没有割裂感（同时在这里感谢杨老师的和声），又是一次成功的尝试，截然不同的风格体验感真的很好。那就希望马老师的音乐之路「无畏」吧！歌曲真的越做越好啦,2023-03-23 11:39:37,11,0
“不要麻烦谁来左右我的命”,2023-03-23 04:13:05,141,0
"那👉就让我👩👨👧👦无畏🤲 不🖐️在乎👀黑夜涂黑🌌 就算万物🌲🌺都枯萎🍃🥀 我只去不回 ♫
也不是无所谓🤞 也回忆👋过去👈多美💖💘 不退缩😢就算笨拙🤯👊 要摸👆到星辰✨♬",2023-03-23 13:55:17,13,0
马上就用[doge],2023-03-23 04:11:27,28,0
某幻的声音和autotune相性特别高，简直太完美了，太完美了，特别是当hook后面的唢呐起来的时候，真的，我听到的感受简直就和问天最结尾层层递进的编曲和鼓点一样直接被推上去……太完美了,2023-03-23 04:31:10,19,0
哥你心理年龄怎么又小了四岁,2023-03-23 08:51:38,4,0
这么早？[星星眼][星星眼]，再次催网易云问天！,2023-03-23 04:01:20,102,0
