评论,时间,点赞数,标签
害。。好难过的故事。。。如果所有人做的都是错的，错的就会变成对的吗？,1679392364,181,0
背景的字：不到一个星期，诚实人就发现自己已经一文不名了；他家徒四壁，没有任何东西可吃。但这算不了什么，因为那是他自己的错。不，总之是他的行为是其他的人很不安。因为他让别人偷走了他家的一切却不从别人家那儿偷任何东西，这样总有人在黎明回家时，发现家里没被动过。——那本该是由城市的人进去行窃的。,1679392272,140,0
他们洗脑着，让好人变成凶手，让懦弱和善的人疯，让霸道的女性被驯服成良家妇女，让坚信的梦想和信仰的人变得一文不值，让自由人变成了生活的机器。我从来不是一个聪明的人，也不是很乐意跟风走的人，有时我下意识的决定那种主观而不客观就注定了我的悲剧，我没有那么强的坚定信仰，很多次我都被同化了，我会在这种洪流之中推着走。我不是黑羊，我是被鞭子赶着的群里的羊。我玩过未定时间薄，有一句话我很喜欢，就是。如果你与世人背道而驰，你是否还会坚定当下的选择。我的回答是，也许。,1679434640,49,0
宿舍八人，二十平大小，空间逼仄，异常闷热，我受不了封门封窗，想要在睡觉时开门通风，一室友极力阻止，反质问我，其他宿舍都是不开门的，你为什么要开门?寝室长也过来帮腔，其余五人缄默不语。我当时边哭边跟他们争论，没结果。后来在宿舍哭了一个钟头，又去自习室哭到现在。我很难受，真的难受。就这样，没了。,1679416318,87,0
不合群不是我的罪，我只是想陪着并当那一束光而已，为了理想，被当成傻子也没关系。,1679491759,39,0
去医院皮肤科排队看诊，皮肤科，自然是没有什么急危重症的病人的，下一个就轮到我了，结果后面的人插队挤在我前面，我提醒她不要插队，结果她说：“我可没拦着你站到我前面啊，自己不积极还好意思在那里说。”一边说着还继续抢先一步坐进诊室里面。,1679417846,41,0
鲁迅先生的话一直都是正确的：“当浑浊成为常态，清白便是一种罪”,1679593296,5,0
"black 黑色的
sheep  羊
black sheep ：黑羊/害群之马
我想起了我小学学的英文儿歌还是什么
Black sheep, black sheep ,what do you see?
I see a goldfish looking at me
一群金鱼
A school of fish with gold",1679461212,33,0
看过一句话：“合什么群，合谁的群，和谁合群，在丑小鸭的世界里天鹅也有罪，不需要合群，做你自己就很好。”,1679496353,7,0
一旦不再坚守自己原则，便不再是我了，我是为我而活的。,1679418004,20,0
"可能和这个故事无关我说的
其实我就是标题里说的不合群，学校里没有朋友，出去也没人，放学回家也是(可能是走路快，但前两个不是)
我也不同流合污，比如抄同学作业，我是生物课代表，我班主任老师说了这几天作业好多人答案相同，生物老师也在班里说了，然后班主任让我去查，反正最后估计是要被针对。而且我今天查到他们在一个群里互相发作业，就算没有生物，其他几科也够他们死了，还有建小群都违反了规定。最后就让我走到黑吧",1679498045,16,0
绝了 把无知当纯真 把愚蠢当正义 这完全是一个由自我中心支配的人 怎么能叫好人？真正有价值的感情 如果不经过世俗势利的考验 如何才能有价值？世界是一个丰富多彩的多棱镜 如果我们不努力提高自己的见识 锻炼自己的人格 我们怎么分的清是非对错？当我们放下自己的偏见 努力和这个宏大的世界接轨的时候 才能发现要到仁清巷，须经十里街。底下一堆人附和 可见没一个明白人 我看这种人就是作茧自缚。,1679532226,7,0
神不会眷顾那些穷人，因为他们贡献的东西完全没有那些贵族贡献的东西多，神没有惩罚那些人，反而是招那些人为神选之人，神就像一个木偶一样，偷窃，也许真的不是，错也说不定，人们为了活着而偷，你也为了活着而偷，你一个人怎么能抵挡住这滔天巨浪，你终将成为巨浪的一部分，这只是时间问题，这只是时间问题，时间问题……,1679411194,41,0
"损人利己是最轻松的行为，这其中有受益人也有受害者，谁都不想成为受害者，谁都想成为受益人，其实还有一种方法，能人所有人受益，只是这个方法远不如前者来的轻松，就算所有人都做后者，也会有人来做前者因此暴富。
“所有人都不想成为受害者”，这本应该是一个非常友善的理想，只是人一旦缺失了共情，就会把这句话扭曲成“只要我不是受害者就好”，不，应该是“我只想要我成为受益人”。
生命是贪婪的，起初我不理解为什么贪婪无穷无尽，后来我释然了，不是贪婪无穷无尽，而是资源数不胜数，生命自身会消耗能量，因此会本能的补充能量——因为时常会出现无法补充能量的时候，盈余的能量就是为了填补这一缺失，当资源变得无穷大，或者说可以获取的资源变得极为庞大，那么本能会诱惑你去争抢资源，其实本能只是希望增加你活下去的可能性才会诱惑你去争抢，为了活下去而变得贪婪，哪怕你现在生存无虑，当初的贪婪到现在依然不曾改变，大脑哪有那么智能，穷的时候贪婪点，富的时候就无私奉献，生命的目的是延续自己的后代，其他人的后代重要吗？
讲个笑话，人是社会性生物。可我依然相信和谐……",1679398534,61,0
世界上也存在学习进步互相鼓励一起放松的群体，不合群只是一种选择，而不是自视清高的理由，自己感觉舒服问心无愧就行,1679566665,8,0
"你一直坚守的正道如今已铺满了火与刀，道阻且长。而旁边的恶却是富丽堂皇，探手间便可得富贵。
年轻人，若如此，你还愿意和我再坚守人类至纯至善的正道吗？",1679428647,32,0
"混沌狂欢
秩序暗淡
刚直常败
唯有不甘
熵增是自发性的，混沌自然也是天性。但生命本就是抵抗熵增，所以勇敢吧刚直的少年，愿你我自我常在。[鼓掌][鼓掌]",1679497028,18,0
举世混浊我独清，众人皆醉我独醒！鸷鸟之不群兮，自前世而固然！,1679500956,11,0
这结局不该是黑羊的命，我要找寻新的道路，千千万万只黑羊的路。这条路终会通向更多的路。,1679488442,15,0
小偷国家不能让黑羊认同，所以它不融入。但是会对自己产生怀疑，如果自己同化会不会变好？不，不会。如果妥协如果你是底层你还是被偷的。你当然可以通过这套规则慢慢站在最高点，很舒适但是那真的不是这位哲学家想要的。他想明白了，他见证了这个国家的毁灭，但是他已经很老了。他没有办法去继续往前走了，但是黑羊不会只有一只。但是我可能会怀疑自己是否自己真的是黑羊。或许如果按照我的思想，创建了另一个小偷社会。当然这个视频主要讲道德，我可能想的有点宽泛了。,1679541142,5,0
害。。好难过的故事。。。如果所有人做的都是错的，错的就会变成对的吗？,1679392364,181,0
背景的字：不到一个星期，诚实人就发现自己已经一文不名了；他家徒四壁，没有任何东西可吃。但这算不了什么，因为那是他自己的错。不，总之是他的行为是其他的人很不安。因为他让别人偷走了他家的一切却不从别人家那儿偷任何东西，这样总有人在黎明回家时，发现家里没被动过。——那本该是由城市的人进去行窃的。,1679392272,140,0
他们洗脑着，让好人变成凶手，让懦弱和善的人疯，让霸道的女性被驯服成良家妇女，让坚信的梦想和信仰的人变得一文不值，让自由人变成了生活的机器。我从来不是一个聪明的人，也不是很乐意跟风走的人，有时我下意识的决定那种主观而不客观就注定了我的悲剧，我没有那么强的坚定信仰，很多次我都被同化了，我会在这种洪流之中推着走。我不是黑羊，我是被鞭子赶着的群里的羊。我玩过未定时间薄，有一句话我很喜欢，就是。如果你与世人背道而驰，你是否还会坚定当下的选择。我的回答是，也许。,1679434640,49,0
宿舍八人，二十平大小，空间逼仄，异常闷热，我受不了封门封窗，想要在睡觉时开门通风，一室友极力阻止，反质问我，其他宿舍都是不开门的，你为什么要开门?寝室长也过来帮腔，其余五人缄默不语。我当时边哭边跟他们争论，没结果。后来在宿舍哭了一个钟头，又去自习室哭到现在。我很难受，真的难受。就这样，没了。,1679416318,87,0
不合群不是我的罪，我只是想陪着并当那一束光而已，为了理想，被当成傻子也没关系。,1679491759,39,0
