评论,时间,点赞数,标签
宋朝还真是个文人皇帝，喜欢拿笔的心也和笔尖一般细，宋朝羸弱也是刻在皇帝骨子里的[吃瓜],1679494749,7,0
"你小时候可能不理解他
你小时候可能会听到你的语文老师说他的词艳俗
可能还会有很多人批判柳词
可是他就是他
他就是万千人的写照
哪怕他落榜
我永远爱柳永
史册中我姓名，君不见金榜外",1679410198,33,0
月光追逐着明月，问题驱赶着黄昏，于是月滚着月，年滚着年，疾驰而过的时光，化作参天古木的年轮，疏疏密密……,1679578174,3,0
"孤独，是我们的底色。
人生一场，大抵是一次认识自我，与自我和解的旅程。",1679376486,99,0
说苏东坡不接地气的真的很搞笑，中国古代文学史袁行霈版本中还强调了一下苏东坡和其他文人比较有一点就是极收到平民百姓的喜爱，不要太荒谬ヽ(≧Д≦)ノ,1679483963,13,0
赵祯：让他浅酌低唱去吧，要朕给的浮名干什么？[doge],1679374066,66,0
人活一世，难得糊涂，我觉得柳永就是活得通透，也许只有定风波之后的苏轼比他透了。,1679497212,6,0
"不愿君王召，愿得柳七叫
不愿千黄金，愿得柳七心
不愿神仙见，原识柳七见",1679372721,38,0
"高中看人间词话，现在就记得这一篇了，每次试笔练字都是练这篇《八声甘州》
对潇潇暮雨洒江天，一番洗清秋。渐霜风凄紧，关河冷落，残照当楼。是处红衰翠减，苒苒物华休。唯有长江水，无语东流。
不忍登高临远，望故乡渺邈，归思难收。叹年来踪迹，何事苦淹留。想佳人妆楼颙望，误几回，天际识归舟。争知我，倚阑杆处，正恁凝愁！",1679467944,6,0
和异地男友分手，再读这首《雨霖铃》，发现并非是无人懂我的孤独，明明是爱而不得的悲苦，句句不提亡妻，却字字表达思念。之前我去看过我和他的感情，说不用在等了，现在我也遇到了对的人。,1679397151,27,0
"我在讲课时，播放过up主姜夔那一期的片段。那一期做得很好，但没有柳永这期好。
投币感谢！柳永这个人不容易讲全，备课时越是了解越觉得他是天赋型宗师词人。",1679415025,11,0
