评论,时间,点赞数,标签
同事给领导添茶，我：快别添了，添完还能唠一个小时,2023-03-23 16:16:51,2,0
"我们是没有型[doge]
领导:最近上班有什么问题吗？
我们:没有。",2023-03-22 13:36:35,3,0
我是……形不成形！！意不在意！再回去练练吧！！劲发江潮落，气收秋毫平！,2023-03-22 14:47:56,3,0
我们部门是跑题型，可能是采编的缘故，大家对消息的灵通程度真的不是一般的高，两个小时的会我们讲一个半小时的八卦，你讲完我讲，我讲完他讲，除了到掰扯回来想议题的时候会鸦雀无声极速散会。,2023-03-23 09:55:52,2,0
"六个人,一个戴尔五个Mac [doge][doge][doge]",2023-03-22 10:12:50,10,0
承认自己是普通人，并不意味着安于平庸。每个人花期不同，不必焦虑有人比你提前拥有,2023-03-22 10:02:14,10,0
生活中，工作中，这就是最真实的常态[笑哭],2023-03-22 10:01:12,29,0
我是想快点结束型，只要我带头不说话，就希望不会有接下去的话题,2023-03-22 16:53:42,2,0
papi这期美出新高度嗷[星星眼][星星眼],2023-03-23 14:45:24,1,0
我们是鸦雀无声型和马拉松型，双倍酸爽[微笑],2023-03-23 04:43:16,1,0
苯高中牲一直觉得开会好有意思[笑哭],2023-03-23 13:25:57,1,0
别的不知道 老板一般都是否定型 或者对对型但是不给说到底怎么做型,2023-03-23 08:12:28,1,0
每次一看papi视频就傻乐[藏狐][藏狐]家人以为我找到女朋友了,2023-03-23 12:23:46,1,0
还有本来没事，领导刷存在感，一开就开一下午会的，车轱辘话来回说,2023-03-23 05:04:59,1,0
papi酱真的没有创作瓶颈，遇到瓶颈的是我们不知道评论什么能上热评[doge][doge],2023-03-22 10:04:50,30,0
封面太漂亮啦！！！！,2023-03-22 17:01:53,1,0
没人注意到这期配饰搭配的很好吗？项链耳饰都是画龙点睛哎,2023-03-22 22:54:14,1,0
冤大头型，不幸和一群不认识的摆子组了队，不得不一人担下所有[微笑][微笑],2023-03-22 10:12:42,20,0
原来我是“全型”,2023-03-23 07:07:53,1,0
正在开会蟹蟹[难过][难过]还没开完[藏狐][藏狐],2023-03-22 12:45:46,1,0
同事给领导添茶，我：快别添了，添完还能唠一个小时,2023-03-23 16:16:51,2,0
"我们是没有型[doge]
领导:最近上班有什么问题吗？
我们:没有。",2023-03-22 13:36:35,3,0
我是……形不成形！！意不在意！再回去练练吧！！劲发江潮落，气收秋毫平！,2023-03-22 14:47:56,3,0
我们部门是跑题型，可能是采编的缘故，大家对消息的灵通程度真的不是一般的高，两个小时的会我们讲一个半小时的八卦，你讲完我讲，我讲完他讲，除了到掰扯回来想议题的时候会鸦雀无声极速散会。,2023-03-23 09:55:52,2,0
"六个人,一个戴尔五个Mac [doge][doge][doge]",2023-03-22 10:12:50,10,0
承认自己是普通人，并不意味着安于平庸。每个人花期不同，不必焦虑有人比你提前拥有,2023-03-22 10:02:14,10,0
生活中，工作中，这就是最真实的常态[笑哭],2023-03-22 10:01:12,29,0
我是想快点结束型，只要我带头不说话，就希望不会有接下去的话题,2023-03-22 16:53:42,2,0
papi这期美出新高度嗷[星星眼][星星眼],2023-03-23 14:45:24,1,0
我们是鸦雀无声型和马拉松型，双倍酸爽[微笑],2023-03-23 04:43:16,1,0
苯高中牲一直觉得开会好有意思[笑哭],2023-03-23 13:25:57,1,0
别的不知道 老板一般都是否定型 或者对对型但是不给说到底怎么做型,2023-03-23 08:12:28,1,0
每次一看papi视频就傻乐[藏狐][藏狐]家人以为我找到女朋友了,2023-03-23 12:23:46,1,0
还有本来没事，领导刷存在感，一开就开一下午会的，车轱辘话来回说,2023-03-23 05:04:59,1,0
papi酱真的没有创作瓶颈，遇到瓶颈的是我们不知道评论什么能上热评[doge][doge],2023-03-22 10:04:50,30,0
封面太漂亮啦！！！！,2023-03-22 17:01:53,1,0
没人注意到这期配饰搭配的很好吗？项链耳饰都是画龙点睛哎,2023-03-22 22:54:14,1,0
冤大头型，不幸和一群不认识的摆子组了队，不得不一人担下所有[微笑][微笑],2023-03-22 10:12:42,20,0
原来我是“全型”,2023-03-23 07:07:53,1,0
正在开会蟹蟹[难过][难过]还没开完[藏狐][藏狐],2023-03-22 12:45:46,1,0
同事给领导添茶，我：快别添了，添完还能唠一个小时,2023-03-23 16:16:51,2,0
"我们是没有型[doge]
领导:最近上班有什么问题吗？
我们:没有。",2023-03-22 13:36:35,3,0
我是……形不成形！！意不在意！再回去练练吧！！劲发江潮落，气收秋毫平！,2023-03-22 14:47:56,3,0
我们部门是跑题型，可能是采编的缘故，大家对消息的灵通程度真的不是一般的高，两个小时的会我们讲一个半小时的八卦，你讲完我讲，我讲完他讲，除了到掰扯回来想议题的时候会鸦雀无声极速散会。,2023-03-23 09:55:52,2,0
"六个人,一个戴尔五个Mac [doge][doge][doge]",2023-03-22 10:12:50,10,0
承认自己是普通人，并不意味着安于平庸。每个人花期不同，不必焦虑有人比你提前拥有,2023-03-22 10:02:14,10,0
生活中，工作中，这就是最真实的常态[笑哭],2023-03-22 10:01:12,29,0
我是想快点结束型，只要我带头不说话，就希望不会有接下去的话题,2023-03-22 16:53:42,2,0
papi这期美出新高度嗷[星星眼][星星眼],2023-03-23 14:45:24,1,0
我们是鸦雀无声型和马拉松型，双倍酸爽[微笑],2023-03-23 04:43:16,1,0
苯高中牲一直觉得开会好有意思[笑哭],2023-03-23 13:25:57,1,0
别的不知道 老板一般都是否定型 或者对对型但是不给说到底怎么做型,2023-03-23 08:12:28,1,0
每次一看papi视频就傻乐[藏狐][藏狐]家人以为我找到女朋友了,2023-03-23 12:23:46,1,0
还有本来没事，领导刷存在感，一开就开一下午会的，车轱辘话来回说,2023-03-23 05:04:59,1,0
papi酱真的没有创作瓶颈，遇到瓶颈的是我们不知道评论什么能上热评[doge][doge],2023-03-22 10:04:50,30,0
封面太漂亮啦！！！！,2023-03-22 17:01:53,1,0
没人注意到这期配饰搭配的很好吗？项链耳饰都是画龙点睛哎,2023-03-22 22:54:14,1,0
冤大头型，不幸和一群不认识的摆子组了队，不得不一人担下所有[微笑][微笑],2023-03-22 10:12:42,20,0
原来我是“全型”,2023-03-23 07:07:53,1,0
正在开会蟹蟹[难过][难过]还没开完[藏狐][藏狐],2023-03-22 12:45:46,1,0
同事给领导添茶，我：快别添了，添完还能唠一个小时,2023-03-23 16:16:51,2,0
"我们是没有型[doge]
领导:最近上班有什么问题吗？
我们:没有。",2023-03-22 13:36:35,3,0
我是……形不成形！！意不在意！再回去练练吧！！劲发江潮落，气收秋毫平！,2023-03-22 14:47:56,3,0
我们部门是跑题型，可能是采编的缘故，大家对消息的灵通程度真的不是一般的高，两个小时的会我们讲一个半小时的八卦，你讲完我讲，我讲完他讲，除了到掰扯回来想议题的时候会鸦雀无声极速散会。,2023-03-23 09:55:52,2,0
"六个人,一个戴尔五个Mac [doge][doge][doge]",2023-03-22 10:12:50,10,0
承认自己是普通人，并不意味着安于平庸。每个人花期不同，不必焦虑有人比你提前拥有,2023-03-22 10:02:14,10,0
生活中，工作中，这就是最真实的常态[笑哭],2023-03-22 10:01:12,29,0
我是想快点结束型，只要我带头不说话，就希望不会有接下去的话题,2023-03-22 16:53:42,2,0
papi这期美出新高度嗷[星星眼][星星眼],2023-03-23 14:45:24,1,0
我们是鸦雀无声型和马拉松型，双倍酸爽[微笑],2023-03-23 04:43:16,1,0
苯高中牲一直觉得开会好有意思[笑哭],2023-03-23 13:25:57,1,0
别的不知道 老板一般都是否定型 或者对对型但是不给说到底怎么做型,2023-03-23 08:12:28,1,0
每次一看papi视频就傻乐[藏狐][藏狐]家人以为我找到女朋友了,2023-03-23 12:23:46,1,0
还有本来没事，领导刷存在感，一开就开一下午会的，车轱辘话来回说,2023-03-23 05:04:59,1,0
papi酱真的没有创作瓶颈，遇到瓶颈的是我们不知道评论什么能上热评[doge][doge],2023-03-22 10:04:50,30,0
封面太漂亮啦！！！！,2023-03-22 17:01:53,1,0
