评论,时间,点赞数,标签
看了下评论区里的妖魔鬼怪，始皇帝焚书坑儒还是有点道理的,1679551983,76,0
始皇NB归NB，但中国大一统的功劳又不全是他的，少些个人崇拜[藏狐],1679582767,4,0
不从功绩从个人性格上来说，祖龙带有很强的工作狂性质，而且是在是太肝啦，又没有老朱的身体素质每天要批阅一百二十斤竹简的奏疏，而且因为手捧着，很有可能得了腱鞘炎，需要用布帛绕在脖子上吊着手臂看奏疏，类似于今天的手臂骨折打石膏。后来追求长生，也是感受到自己时日不多了吧，多活几年多做些事情。,1679581664,7,0
"拿到玉玺前:人人平等，坚定的无神论者！
拿到玉玺后:受命于天，既寿永昌！",1679629937,5,0
如果不是刘邦，始皇帝的政策也不一定能延续，每一朝都有它的使命，合久必分不如说是盛极必衰，如果要跳出历史周期论，那历史一定得客观，不然后人只能一直原地打转,1679561142,14,0
后世称始皇帝为暴君，也是为了美化当朝，讽刺前朝，当却没有那一朝敢说他是昏聩无能,1679545276,26,0
其实这些制度设计也不是秦始皇一个人的创造，而是春秋战国以来诸子百家政治思想的集大成。先秦诸子对于当时中国社会的治理都有过很多设想，秦始皇在很大程度上是他们的实现者。所以谈秦创立制度不能不谈先秦诸子，把文化和政治割裂不是看待历史的正确方法论。,1679612192,4,0
从0到1这个距离比从1到N难多了,1679566737,25,0
"希望赞美的人活在秦朝
如果出生古代，我选择高后文景时期",1679553369,25,0
其实文化上周的影响比秦大，儒家不是诸子百家是周的官学是夏商周三代的文化提炼精粹而成的，它的传统非常深厚。秦的文化局部统治一百多年全局统治经验十几年没有形成行之有效的传统所以汉才不得不与儒学经营集团合作统治。而且周的分封有别于夏商的分封，没有周的分封秦的统一将会非常难，我认为周对于中国的影响比秦要大。,1679554419,12,0
为什么中国能大一统而欧洲不能？我觉得主要还是民族血统原因。表面上中国统一始于秦始皇，其实从炎黄部落统一中原地区的时候就开始了，经夏商周炎黄子孙逐渐扩张，南至荆湘江浙、北到燕地、东到山东半岛、西到陕西甘肃。春秋战国几个国家打仗也是为了当“天下”之主。虽然文字语言有差异，但是东周那么多说客不也是游走于各个诸侯国吗？战国末期天下统一的趋势已经很明显了，只是说是哪个诸侯率先统一的问题。反观欧洲，日耳曼诸部落语言习俗各异，又有凯尔特人、斯拉夫人、希腊人、罗马人等分别，再东边波斯人闪米特人草原游牧部落也虎视眈眈，一直没有强势的民族能在欧洲地区扩张到足够的人数对其他民族形成碾压性的优势。当然秦始皇对大一统的贡献是不可忽视的，但是天时地利人和，欧洲要大一统的话条件确实比中国差太多。,1679556015,8,0
他后面上的那些大工程，对当时的百姓来说，说是残暴一点都不为过，后世自然要引以为戒，将其立为反面典型。,1679555539,13,0
挺有意思的。有人在争大一统的功劳，有人在诋毁大一统，前者更了解中国历史，后者往往只研究西方历史，两拨人混杂在一起，展开对嬴政的讨伐。恰好最近欧美经济不景气，以依附与出卖为价值的那群，其怨气之大，可见一斑。,1679577430,9,0
搞分封制别说是几代以后出乱子了，你瞧瞧欧洲拿破仑封的那些国王和有公国封地的元帅吧，才十年过去1814年保持中立的都是给你法兰西面子，好多人直接成了反法联军和路易十八的急先锋[笑哭],1679539729,47,0
评论区一堆人都搞错了方向，你要知道第一个上太空的是加加林，第一个在月球留下脚印的是阿姆斯特朗，牛顿的三大定律经典物理，这些都是开创性最重要，不是你做的比前人好就是你更厉害。,1679546665,53,0
"某些人：秦始皇建设国家的难度顶多位列二档，难度一般般，而且还吃了六世余烈的红利。
笑死了，我直接说，这些人，没有一点资格评价始皇帝。",1679585958,9,0
统一的功劳算在秦始皇身上我认为是夸大了，要真论功劳应该是注入大一统理念的那个人。大一统理念是并不是直接来的，而是因某个东西间接产生，我认为这个东西是礼，是人伦规范最终催生了大一统理念。所以统一功劳应该算在周公身上，要不然孔子怎么会崇拜他呢,1679550063,13,0
讲欧洲那一段完全是抛开事实不谈，中国的核心华北平原、淮河地区，长江中下游平原都是冲刷平原没有大面积的森林。而欧洲北德意志地区大量的平原都是复杂的森林且气候寒冷，南德意志海拔落差许多盆地 捷克斯洛伐克更是有大量山脉，天线阿尔卑斯山脉也隔断着意大利与北方，英格兰更是在拥有广袤平原的同时孤悬海外，伊比利亚地形错综复杂。欧洲割据不分析气候和地理一味分析制度完全本末倒置。是物质决定精神。,1679571867,35,0
秦始皇让了别人五年，却依然无人超越[doge],1679616851,4,0
小时候被教育的骂秦始皇，长大后懂事了谁不得来一声政哥牛逼,1679555200,6,0
始皇NB归NB，但中国大一统的功劳又不全是他的，少些个人崇拜[藏狐],1679582767,4,0
