评论,时间,点赞数,标签
那个混蛋发的弹幕说开车的像清水健[笑哭],1679405347,2,0
好好好👍👍,1679428200,3,0
挺尬的，翻拍的不行✋,1679485199,4,0
看过相同剧情的了，我看到那个都包浆过了,1679409030,2,0
写剧本拍了十几个版本了,1679413646,2,0
一个梗多少人在抄，都不记得原版是哪个了,1679619132,2,0
第二天队友倒在板前，我先是丢一块石头爆点，再下板队友和屠夫卡一个互动，屠夫踢板子捡到人了，我直接射瞎dog眼，疲劳值正好消失了，一个弹射起步直接跑掉[tv_doge],1679639709,1,0
想起小时候，看到过飞车党抢耳环，那个阿姨耳朵都被扯穿[微笑],1679641746,1,0
这期好看，因为没有真子,1679589781,1,0
真子不出来，剧情一下子就有趣了呢[doge][doge][doge],1679594386,1,0
又是翻拍,1679409800,4,0
昨天刚好看到别的博主也发一模一样的视频，原创和模仿是谁我也不清楚[喜极而泣][喜极而泣]不过你们只拍前部分，，还有两次后半部分呢，最后结局是骑车的赔了夫人又折兵[笑哭][笑哭],1679535129,1,0
这内容看了不下三个了，到底是谁抄谁呢，好奇[吃瓜],1679415610,2,0
同一个师傅交的，破不了招啊,1679612888,1,0
前面都没笑，最后看见疯女人笑了,1679578461,1,0
上一个视频好难受,1679406158,2,0
"我试了下，我把钱包丢后面了，他骑着摩托车去找钱包去了
[热词系列_知识增加][热词系列_知识增加]",1679548056,1,0
我选择把人抗走[妙啊],1679522581,1,0
《老亨日记》,1679397515,2,0
可以看出，劫匪不是广西老表，不然他直接翘车头就开走了[doge],1679418422,1,0
那个混蛋发的弹幕说开车的像清水健[笑哭],1679405347,2,0
好好好👍👍,1679428200,3,0
挺尬的，翻拍的不行✋,1679485199,4,0
看过相同剧情的了，我看到那个都包浆过了,1679409030,2,0
写剧本拍了十几个版本了,1679413646,2,0
一个梗多少人在抄，都不记得原版是哪个了,1679619132,2,0
第二天队友倒在板前，我先是丢一块石头爆点，再下板队友和屠夫卡一个互动，屠夫踢板子捡到人了，我直接射瞎dog眼，疲劳值正好消失了，一个弹射起步直接跑掉[tv_doge],1679639709,1,0
想起小时候，看到过飞车党抢耳环，那个阿姨耳朵都被扯穿[微笑],1679641746,1,0
这期好看，因为没有真子,1679589781,1,0
真子不出来，剧情一下子就有趣了呢[doge][doge][doge],1679594386,1,0
又是翻拍,1679409800,4,0
昨天刚好看到别的博主也发一模一样的视频，原创和模仿是谁我也不清楚[喜极而泣][喜极而泣]不过你们只拍前部分，，还有两次后半部分呢，最后结局是骑车的赔了夫人又折兵[笑哭][笑哭],1679535129,1,0
这内容看了不下三个了，到底是谁抄谁呢，好奇[吃瓜],1679415610,2,0
同一个师傅交的，破不了招啊,1679612888,1,0
前面都没笑，最后看见疯女人笑了,1679578461,1,0
上一个视频好难受,1679406158,2,0
"我试了下，我把钱包丢后面了，他骑着摩托车去找钱包去了
[热词系列_知识增加][热词系列_知识增加]",1679548056,1,0
我选择把人抗走[妙啊],1679522581,1,0
《老亨日记》,1679397515,2,0
可以看出，劫匪不是广西老表，不然他直接翘车头就开走了[doge],1679418422,1,0
挺尬的，翻拍的不行✋,1679485199,4,0
好好好👍👍,1679428200,3,0
看过相同剧情的了，我看到那个都包浆过了,1679409030,2,0
写剧本拍了十几个版本了,1679413646,2,0
一个梗多少人在抄，都不记得原版是哪个了,1679619132,2,0
第二天队友倒在板前，我先是丢一块石头爆点，再下板队友和屠夫卡一个互动，屠夫踢板子捡到人了，我直接射瞎dog眼，疲劳值正好消失了，一个弹射起步直接跑掉[tv_doge],1679639709,1,0
想起小时候，看到过飞车党抢耳环，那个阿姨耳朵都被扯穿[微笑],1679641746,1,0
这是我看到的第三个同类抢劫，但是别出心裁[星星眼],1679406957,11,0
又是翻拍,1679409800,4,0
网卡的很是时候，截图成功[doge],1679470925,1,0
这内容看了不下三个了，到底是谁抄谁呢，好奇[吃瓜],1679415610,2,0
这期好看，因为没有真子,1679589781,1,0
真子不出来，剧情一下子就有趣了呢[doge][doge][doge],1679594386,1,0
上一个视频好难受,1679406158,2,0
昨天刚好看到别的博主也发一模一样的视频，原创和模仿是谁我也不清楚[喜极而泣][喜极而泣]不过你们只拍前部分，，还有两次后半部分呢，最后结局是骑车的赔了夫人又折兵[笑哭][笑哭],1679535129,1,0
同一个师傅交的，破不了招啊,1679612888,1,0
前面都没笑，最后看见疯女人笑了,1679578461,1,0
"我试了下，我把钱包丢后面了，他骑着摩托车去找钱包去了
[热词系列_知识增加][热词系列_知识增加]",1679548056,1,0
我选择把人抗走[妙啊],1679522581,1,0
《老亨日记》,1679397515,2,0
那个混蛋发的弹幕说开车的像清水健[笑哭],1679405347,2,0
好好好👍👍,1679428200,3,0
挺尬的，翻拍的不行✋,1679485199,4,0
看过相同剧情的了，我看到那个都包浆过了,1679409030,2,0
写剧本拍了十几个版本了,1679413646,2,0
一个梗多少人在抄，都不记得原版是哪个了,1679619132,2,0
第二天队友倒在板前，我先是丢一块石头爆点，再下板队友和屠夫卡一个互动，屠夫踢板子捡到人了，我直接射瞎dog眼，疲劳值正好消失了，一个弹射起步直接跑掉[tv_doge],1679639709,1,0
想起小时候，看到过飞车党抢耳环，那个阿姨耳朵都被扯穿[微笑],1679641746,1,0
这期好看，因为没有真子,1679589781,1,0
真子不出来，剧情一下子就有趣了呢[doge][doge][doge],1679594386,1,0
又是翻拍,1679409800,4,0
昨天刚好看到别的博主也发一模一样的视频，原创和模仿是谁我也不清楚[喜极而泣][喜极而泣]不过你们只拍前部分，，还有两次后半部分呢，最后结局是骑车的赔了夫人又折兵[笑哭][笑哭],1679535129,1,0
这内容看了不下三个了，到底是谁抄谁呢，好奇[吃瓜],1679415610,2,0
同一个师傅交的，破不了招啊,1679612888,1,0
前面都没笑，最后看见疯女人笑了,1679578461,1,0
上一个视频好难受,1679406158,2,0
"我试了下，我把钱包丢后面了，他骑着摩托车去找钱包去了
[热词系列_知识增加][热词系列_知识增加]",1679548056,1,0
我选择把人抗走[妙啊],1679522581,1,0
《老亨日记》,1679397515,2,0
可以看出，劫匪不是广西老表，不然他直接翘车头就开走了[doge],1679418422,1,0
挺尬的，翻拍的不行✋,1679485199,4,0
好好好👍👍,1679428200,3,0
看过相同剧情的了，我看到那个都包浆过了,1679409030,2,0
写剧本拍了十几个版本了,1679413646,2,0
一个梗多少人在抄，都不记得原版是哪个了,1679619132,2,0
第二天队友倒在板前，我先是丢一块石头爆点，再下板队友和屠夫卡一个互动，屠夫踢板子捡到人了，我直接射瞎dog眼，疲劳值正好消失了，一个弹射起步直接跑掉[tv_doge],1679639709,1,0
想起小时候，看到过飞车党抢耳环，那个阿姨耳朵都被扯穿[微笑],1679641746,1,0
这是我看到的第三个同类抢劫，但是别出心裁[星星眼],1679406957,11,0
又是翻拍,1679409800,4,0
网卡的很是时候，截图成功[doge],1679470925,1,0
这内容看了不下三个了，到底是谁抄谁呢，好奇[吃瓜],1679415610,2,0
这期好看，因为没有真子,1679589781,1,0
真子不出来，剧情一下子就有趣了呢[doge][doge][doge],1679594386,1,0
上一个视频好难受,1679406158,2,0
昨天刚好看到别的博主也发一模一样的视频，原创和模仿是谁我也不清楚[喜极而泣][喜极而泣]不过你们只拍前部分，，还有两次后半部分呢，最后结局是骑车的赔了夫人又折兵[笑哭][笑哭],1679535129,1,0
同一个师傅交的，破不了招啊,1679612888,1,0
前面都没笑，最后看见疯女人笑了,1679578461,1,0
"我试了下，我把钱包丢后面了，他骑着摩托车去找钱包去了
[热词系列_知识增加][热词系列_知识增加]",1679548056,1,0
我选择把人抗走[妙啊],1679522581,1,0
《老亨日记》,1679397515,2,0
挺尬的，翻拍的不行✋,1679485199,4,0
好好好👍👍,1679428200,3,0
看过相同剧情的了，我看到那个都包浆过了,1679409030,2,0
写剧本拍了十几个版本了,1679413646,2,0
一个梗多少人在抄，都不记得原版是哪个了,1679619132,2,0
第二天队友倒在板前，我先是丢一块石头爆点，再下板队友和屠夫卡一个互动，屠夫踢板子捡到人了，我直接射瞎dog眼，疲劳值正好消失了，一个弹射起步直接跑掉[tv_doge],1679639709,1,0
想起小时候，看到过飞车党抢耳环，那个阿姨耳朵都被扯穿[微笑],1679641746,1,0
这是我看到的第三个同类抢劫，但是别出心裁[星星眼],1679406957,11,0
又是翻拍,1679409800,4,0
网卡的很是时候，截图成功[doge],1679470925,1,0
这内容看了不下三个了，到底是谁抄谁呢，好奇[吃瓜],1679415610,2,0
这期好看，因为没有真子,1679589781,1,0
真子不出来，剧情一下子就有趣了呢[doge][doge][doge],1679594386,1,0
上一个视频好难受,1679406158,2,0
昨天刚好看到别的博主也发一模一样的视频，原创和模仿是谁我也不清楚[喜极而泣][喜极而泣]不过你们只拍前部分，，还有两次后半部分呢，最后结局是骑车的赔了夫人又折兵[笑哭][笑哭],1679535129,1,0
同一个师傅交的，破不了招啊,1679612888,1,0
前面都没笑，最后看见疯女人笑了,1679578461,1,0
"我试了下，我把钱包丢后面了，他骑着摩托车去找钱包去了
[热词系列_知识增加][热词系列_知识增加]",1679548056,1,0
我选择把人抗走[妙啊],1679522581,1,0
《老亨日记》,1679397515,2,0
那个混蛋发的弹幕说开车的像清水健[笑哭],1679405347,2,0
好好好👍👍,1679428200,3,0
挺尬的，翻拍的不行✋,1679485199,4,0
看过相同剧情的了，我看到那个都包浆过了,1679409030,2,0
写剧本拍了十几个版本了,1679413646,2,0
一个梗多少人在抄，都不记得原版是哪个了,1679619132,2,0
第二天队友倒在板前，我先是丢一块石头爆点，再下板队友和屠夫卡一个互动，屠夫踢板子捡到人了，我直接射瞎dog眼，疲劳值正好消失了，一个弹射起步直接跑掉[tv_doge],1679639709,1,0
想起小时候，看到过飞车党抢耳环，那个阿姨耳朵都被扯穿[微笑],1679641746,1,0
这期好看，因为没有真子,1679589781,1,0
真子不出来，剧情一下子就有趣了呢[doge][doge][doge],1679594386,1,0
又是翻拍,1679409800,4,0
