评论,时间,点赞数,标签
看到说“阿廖沙之前怎么不知道说爱女皇”的弹幕，你就这么自私吗？这么理所当然吗？所有人都该爱你？女皇对阿廖沙和保罗的关爱明显投入不够，一对缺少父爱还缺乏母爱的孩子，却要强迫他们爱去别人？,2023-03-22 15:19:12,33,0
[思考]木鱼是不是被限流了，我点开空间才知道更新了,2023-03-23 12:00:31,9,0
目前为止 最押韵的标题[tv_点赞],2023-03-22 13:54:42,52,0
觉得不好看就等着木鱼更新系列啊，在这个系列视频刷有点不合适吧，还有那么多喜欢看的呢，这种题材限于历史肯定不会那么有趣的,2023-03-23 11:24:41,3,0
好担心索菲亚[大哭][大哭][大哭]能不能把偷偷孩子留下然后送出去养[大哭][大哭][大哭]好可怜的女人,2023-03-23 05:33:36,3,0
保罗和他的两个儿子亚历山大一世和尼古拉一世都很难称得上一代明君，孙子亚历山大二世倒才干出众,2023-03-22 14:36:36,13,0
之前一直感觉大金不帅，结果这一集戴上眼罩后怎么感觉这么帅！,2023-03-23 04:45:54,5,0
"八卦一下木材造船厂
在19世纪工业革命尤其是第二次工业革命前，早期无论军舰还是商船，都需要用树木木材建造木帆船。很多林业大国比如挪威，俄国，美国等造船业也蓬勃发展。适合造成树木木材有限，被工业国视为战略资源。
而19世纪以来这两百多年，随着煤炭，钢铁，机械，化工等行业发展，现代钢铁船舶才逐渐取代木帆船成为主流。比如集装箱货轮出现至今不过几十年。",2023-03-22 14:18:58,19,0
太喜欢木鱼的解说了，还能交待故事背景。[点赞][点赞]自己看懵懵懂懂一知半解,2023-03-22 15:01:06,12,0
这部剧里的索菲亚很美。但是个人不是很喜欢这个人物，原因很简单，就是因为她性格比较轻佻，作为女皇身边的贴身侍女就不是很好,2023-03-23 12:54:10,2,0
阿廖沙就这么下线了吗？他好可爱啊呜呜呜,2023-03-22 16:19:49,7,0
有个弹幕说格里格里是叽里咕噜[笑哭],2023-03-23 09:18:09,3,0
女皇：朕朕朕狗脚朕！苏丹？他有几个师？ 25:26,2023-03-22 14:05:25,179,0
深夜两点，3000+的熬夜友友，你们好[脱单doge],2023-03-22 18:19:10,7,0
