评论,时间,点赞数,标签
我感觉有些女生真的挺可怕的，我生的病是系统性红斑狼疮，已经发展成狼疮肾炎，这个病育龄期女性很多，但是我总看到和我生了一样病的女生发帖问“我生了这个病还能结婚生子吗？”我其实挺无语的，这个病有一定家族遗传概率，而且我看到很多因为生了孩子的从肾炎发展为尿毒症了……我真的……生个孩子有自己命重要吗[辣眼睛],2023-03-21 10:23:30,379,0
我们小区小孩多到爆，很多二胎的，所以大家请不要因为自己不生小孩而感到自责[微笑],2023-03-20 10:24:27,1003,0
我说我挣到钱了再结婚，我们家里的女长辈：有钱谁还结婚啊？,2023-03-20 04:18:31,800,0
我同学在韩国留学，他说真的不要带着韩剧的滤镜看所谓的“欧巴”，韩国男的十有七八都是很严重的大男子主义，女性的地位很低。想到我现在追的爱豆以后大部分都会成为在家里翘着二郎腿指挥妻子干这干那的甩手丈夫，追星的兴致真的嗖嗖的下去了[辣眼睛],2023-03-20 11:25:11,684,0
就这个大环境下。就不谈成才了。我教出个心理正常的孩子我都感觉费劲。,2023-03-19 16:04:18,1434,0
中国人太多了，你不生，总有人会替你生三胎四胎甚至五胎，没关系，反正我不结婚不生孩子[妙啊][妙啊],2023-03-20 03:48:27,899,0
《胯下不应该产出压迫自己的性别》《不是生出打压我的就是和我命运一样的》韩女是东亚女性之光,2023-03-22 10:41:38,145,0
对韩女说不生就不生的态度respect,2023-03-20 01:19:35,587,0
我曾经说我不生，我爸来了一句“你得找个男人伺候啊，总不能当一辈子公主吧，你妈不也天天伺候咱一家子吗？”我有病吗？好好的公主不当，非要自寻苦吃[辣眼睛],2023-03-21 06:05:34,166,0
一提到这个就不得不提起很久前看的一个新闻：女议员带娃出席会议，丈夫在休产假[脱单doge]不管过去多少年都忘不掉这个新闻,2023-03-19 17:11:09,589,0
不觉得地球上人类太多了吗？不觉得国内人太多了吧？为什么要担心人类的灭绝？一生也就七八十年，把自己过的开心快乐比什么都重要,2023-03-20 05:03:41,254,0
我和我老公加起来月薪7万，俩人青梅竹马13岁认识，22岁在一起，结婚到现在31，我俩厌恶小孩到啥程度呢，看到路过的小孩都想踹两脚，没啥奢侈品爱好，光是美食和旅游还有游戏数码产品，每月净剩3万吧，对于我俩来说没有小孩钱真的花不完啊,2023-03-22 16:05:03,88,0
从历史的尺度来看，根本不需要担心人口的问题。天下大势，有起必有落，有落必有起，循环往复，螺旋上升。先担心担心自己所处的历史阶段能不能过好自己吧[哈欠],2023-03-19 15:37:27,1352,0
如孩子的出生是为了继承自己劳碌恐慌贫困，那么不生也是一种善良,2023-03-19 12:56:42,1698,0
上次在江汉路看到个男生推着婴儿车，刚想感叹男生还不错嘛，定睛一看里面坐的是初音未来[2233娘_吃惊],2023-03-23 04:23:39,75,0
我在德国，发现其实小孩还是挺多的，为什么呢，因为人家工作不需要卷啊，人均收入差不多，没有什么可比的，福利很好物价相对来说也蛮低的。东亚三国呢，感觉在比谁更卷，且在生育方面并没有给女生提供更多的保障，那谁还愿意生啊,2023-03-19 13:35:50,1704,0
