评论,时间,点赞数,标签
都在晒家乡 我也晒一个[tv_点赞],2023-03-24 01:45:43,19,0
老家贵州山咔咔里面,2023-03-23 16:47:52,17,0
我们烟台是个神奇的地方[呲牙]既能看海上日出，也能看海上日落[惊喜][惊喜],2023-03-23 09:09:54,105,0
[呲牙]Extremely impressive scenery…,2023-03-23 23:38:37,13,0
我的老家贵州小县城，好几年没回来了，今年的桃花开得格外热闹,2023-03-23 22:04:51,12,0
"走在乡间的小路上
暮归的老牛是我同伴
蓝天配朵夕阳在胸膛
缤纷的云彩是晚霞的衣裳
笑意写在脸上
哼一曲乡居小唱
任思绪在晚风中飞扬
多少落寞惆怅
都随晚风飘散",2023-03-23 07:13:50,42,0
绷不住了  男友刚才还说 云应该在家里搭个帐篷 睡里面 …… 我说父母在应该还是不会这样的 …… 结果过会我一抬头  徐云已经坐在帐篷里了………………[喜极而泣][笑哭],2023-03-23 02:00:24,49,0
生活中不缺少美，即便是在城市之中,2023-03-23 23:46:24,16,0
江西彭泽,2023-03-23 18:09:31,18,0
故乡留不下身体，他乡留不下灵魂。,2023-03-23 04:50:58,105,0
老家门口正对着大山这座山同属幕阜山，应该和徐云老家同属一条山脉，这条路徐云应该骑行过，他说过出发的时候走的就是这条路[呲牙],2023-03-23 13:11:50,21,0
乡下也挺好，有山有水，景色好环境好，但就是没几个年轻人[藏狐],2023-03-23 13:32:30,16,0
这是我的家乡，远处连绵不断的山，这里最多是三万大山，四万大山的说法！家乡永远都是任何地方比不了的，因为这是成长的地方，这里拥有我许多美好的童年回忆！,2023-03-23 02:19:39,98,0
"骑行火了回老家，亲戚：杀鸡吃。邻居：哎，你回来了。
骑行没火回老家，亲戚：回来就好，以后去找个正经工作。邻居议论纷纷：你看那个谁谁谁的儿子，两年没看到了，听说流浪了两年，过得那叫一个惨，晚上睡荒山野地。另一个：听说还住过桥洞，几个月都不洗澡，流浪汉都没有那么惨。",2023-03-22 16:48:52,619,0
总是做梦梦见它,2023-03-23 16:00:38,9,0
这几天刚去了江西婺源看油菜花真的仙境一样[保卫萝卜_哇],2023-03-22 23:18:04,379,0
我们这边都是用这种野草做青团的，土话叫糯共糍，糯共就是这种草的俗称。去地里摘来洗净之后搅碎然后和糯米粉混合在一起揉搓定型，然后把冬笋腊肉做的馅包进去上锅蒸，第一次蒸出来是最好吃的，之后也可以接着加热蒸软，或者用油煎都很好吃，每年回家我妈都会去地里摘来做给我吃，比外面几块钱一个的肉包子香一万倍[打call],2023-03-23 08:32:37,54,0
云流的视频为什么这么多人看，就是因为拍的内容很简单，没有世俗的那些炫耀攀比，有的只是最朴素的人际关系，不会带给你焦虑，展现的只是一个普通人正常的普通生活内容,2023-03-23 03:15:34,43,0
老家人接待的最高规格，杀鸡。[呲牙],2023-03-24 01:20:52,11,0
忘不掉的是什么我也不知道,2023-03-23 16:21:53,12,0
都在晒家乡 我也晒一个[tv_点赞],2023-03-24 01:45:43,19,0
老家贵州山咔咔里面,2023-03-23 16:47:52,17,0
